파일명: 0a823ca5-8b33-4e7d-99dd-a098a4c5b799 (1)_denoised.wav
처리 시간: 2025-11-16 16:02:58
언어: ja
총 길이: 00:00.000
============================================================

📝 전체 텍스트
------------------------------
ジュース?あんた何言ってんの?ジュースはできるやつだぞ俺がいろいろと仕込みましたもたれかかるなそいつがチームに入ってくれるかどうか微妙だからあんま詳しくは言わないけどあれはこのことを指してたのかなるほどなあの賭けはそういうことか賭け?昨日オサムたちが勝つかどうか賭けてたんだ賭けに負けた方が一個頼みを聞くジンはオサムたちが勝つ方に賭けて俺もおやつを賭けたおやつを?いや

⏰ 타임스탬프별 텍스트
------------------------------
[00:06.080 → 00:13.860] ジュース?あんた何言ってんの?
[00:14.140 → 00:16.120] ジュースはできるやつだぞ
[00:16.120 → 00:18.240] 俺がいろいろと仕込みました
[00:18.240 → 00:19.560] もたれかかるな
[00:19.560 → 00:22.640] そいつがチームに入ってくれるかどうか微妙だから
[00:23.020 → 00:24.560] あんま詳しくは言わないけど
[00:25.840 → 00:28.260] あれはこのことを指してたのか
[00:29.440 → 00:30.140] なるほどな
[00:31.200 → 00:32.760] あの賭けはそういうことか
[00:32.760 → 00:33.640] 賭け?
[00:33.680 → 00:37.100] 昨日オサムたちが勝つかどうか賭けてたんだ
[00:37.660 → 00:40.780] 賭けに負けた方が一個頼みを聞く
[00:41.320 → 00:43.420] ジンはオサムたちが勝つ方に賭けて
[00:43.420 → 00:45.480] 俺もおやつを賭けた
[00:45.480 → 00:46.520] おやつを?
[00:46.780 → 00:47.140] いや

🔤 단어별 타임스탬프
------------------------------
[00:06.080-00:06.400] ジ (신뢰도: 0.10)
[00:06.400-00:06.620] ュ (신뢰도: 0.79)
[00:06.620-00:11.520] ー (신뢰도: 0.98)
[00:11.520-00:11.640] ス? (신뢰도: 1.00)
[00:12.240-00:12.560] あ (신뢰도: 0.93)
[00:12.560-00:12.920] ん (신뢰도: 0.95)
[00:12.920-00:12.960] た (신뢰도: 1.00)
[00:12.960-00:13.220] 何 (신뢰도: 0.94)
[00:13.220-00:13.480] 言 (신뢰도: 1.00)
[00:13.480-00:13.600] って (신뢰도: 1.00)
[00:13.600-00:13.740] ん (신뢰도: 1.00)
[00:13.740-00:13.860] の? (신뢰도: 1.00)
[00:14.140-00:14.420] ジ (신뢰도: 0.97)
[00:14.420-00:14.540] ュ (신뢰도: 1.00)
[00:14.540-00:14.600] ー (신뢰도: 1.00)
[00:14.600-00:14.840] ス (신뢰도: 1.00)
[00:14.840-00:14.900] は (신뢰도: 1.00)
[00:14.900-00:15.220] でき (신뢰도: 0.88)
[00:15.220-00:15.460] る (신뢰도: 1.00)
[00:15.460-00:15.520] や (신뢰도: 0.99)
[00:15.520-00:15.680] つ (신뢰도: 1.00)
[00:15.680-00:15.820] だ (신뢰도: 1.00)
[00:15.820-00:16.120] ぞ (신뢰도: 1.00)
[00:16.120-00:16.580] 俺 (신뢰도: 0.36)
[00:16.580-00:16.800] が (신뢰도: 1.00)
[00:16.800-00:16.940] い (신뢰도: 0.72)
[00:16.940-00:17.100] ろ (신뢰도: 1.00)
[00:17.100-00:17.200] い (신뢰도: 1.00)
[00:17.200-00:17.360] ろ (신뢰도: 1.00)
[00:17.360-00:17.460] と (신뢰도: 0.69)
[00:17.460-00:17.700] 仕 (신뢰도: 0.98)
[00:17.700-00:17.820] 込 (신뢰도: 1.00)
[00:17.820-00:18.000] み (신뢰도: 1.00)
[00:18.000-00:18.240] ました (신뢰도: 0.99)
[00:18.240-00:18.700] も (신뢰도: 0.09)
[00:18.700-00:18.860] た (신뢰도: 1.00)
[00:18.860-00:19.040] れ (신뢰도: 0.99)
[00:19.040-00:19.180] か (신뢰도: 0.94)
[00:19.180-00:19.320] か (신뢰도: 0.98)
[00:19.320-00:19.440] る (신뢰도: 0.95)
[00:19.440-00:19.560] な (신뢰도: 0.88)
[00:19.560-00:19.960] そ (신뢰도: 0.99)
[00:19.960-00:20.200] いつ (신뢰도: 1.00)
[00:20.200-00:20.420] が (신뢰도: 1.00)
[00:20.420-00:20.500] チ (신뢰도: 1.00)
[00:20.500-00:20.720] ーム (신뢰도: 1.00)
[00:20.720-00:20.880] に (신뢰도: 1.00)
[00:20.880-00:21.060] 入 (신뢰도: 1.00)
[00:21.060-00:21.160] って (신뢰도: 1.00)
[00:21.160-00:21.280] く (신뢰도: 1.00)
[00:21.280-00:21.440] れる (신뢰도: 1.00)
[00:21.440-00:21.560] か (신뢰도: 1.00)
[00:21.560-00:21.720] どう (신뢰도: 1.00)
[00:21.720-00:21.880] か (신뢰도: 1.00)
[00:21.880-00:22.160] 微 (신뢰도: 0.98)
[00:22.160-00:22.420] 妙 (신뢰도: 1.00)
[00:22.420-00:22.640] だから (신뢰도: 1.00)
[00:23.020-00:23.340] あ (신뢰도: 0.97)
[00:23.340-00:23.440] ん (신뢰도: 1.00)
[00:23.440-00:23.440] ま (신뢰도: 1.00)
[00:23.440-00:23.720] 詳 (신뢰도: 0.99)
[00:23.720-00:23.880] しく (신뢰도: 1.00)
[00:23.880-00:24.000] は (신뢰도: 1.00)
[00:24.000-00:24.100] 言 (신뢰도: 1.00)
[00:24.100-00:24.220] わ (신뢰도: 1.00)
[00:24.220-00:24.360] ない (신뢰도: 1.00)
[00:24.360-00:24.560] けど (신뢰도: 1.00)
[00:25.840-00:26.160] あれ (신뢰도: 0.99)
[00:26.160-00:26.340] は (신뢰도: 1.00)
[00:26.340-00:27.100] この (신뢰도: 0.80)
[00:27.100-00:27.420] こと (신뢰도: 0.95)
[00:27.420-00:27.600] を (신뢰도: 1.00)
[00:27.600-00:27.680] 指 (신뢰도: 0.85)
[00:27.680-00:27.920] して (신뢰도: 1.00)
[00:27.920-00:28.020] た (신뢰도: 1.00)
[00:28.020-00:28.120] の (신뢰도: 1.00)
[00:28.120-00:28.260] か (신뢰도: 1.00)
[00:29.440-00:29.800] なるほど (신뢰도: 0.94)
[00:29.800-00:30.140] な (신뢰도: 1.00)
[00:31.200-00:31.560] あの (신뢰도: 0.73)
[00:31.560-00:31.820] 賭 (신뢰도: 0.97)
[00:31.820-00:31.880] け (신뢰도: 1.00)
[00:31.880-00:31.960] は (신뢰도: 1.00)
[00:31.960-00:32.140] そう (신뢰도: 1.00)
[00:32.140-00:32.480] いうこと (신뢰도: 0.99)
[00:32.480-00:32.760] か (신뢰도: 1.00)
[00:32.760-00:33.480] 賭 (신뢰도: 0.98)
[00:33.480-00:33.640] け? (신뢰도: 1.00)
[00:33.680-00:33.940] 昨 (신뢰도: 0.98)
[00:33.940-00:34.360] 日 (신뢰도: 1.00)
[00:34.360-00:34.500] オ (신뢰도: 0.26)
[00:34.500-00:34.780] サ (신뢰도: 1.00)
[00:34.780-00:34.900] ム (신뢰도: 1.00)
[00:34.900-00:35.060] た (신뢰도: 0.92)
[00:35.060-00:35.300] ち (신뢰도: 1.00)
[00:35.300-00:35.340] が (신뢰도: 1.00)
[00:35.340-00:35.600] 勝 (신뢰도: 1.00)
[00:35.600-00:35.780] つ (신뢰도: 1.00)
[00:35.780-00:35.820] か (신뢰도: 1.00)
[00:35.820-00:36.000] どう (신뢰도: 1.00)
