파일명: test1_onnacybog_denoised.wav
처리 시간: 2025-11-16 21:53:39
언어: ja
총 길이: 00:00.000
============================================================

📝 전체 텍스트
------------------------------
はいはい頼むよエネドラまた映画見せてやるから面白いのあるのか今度のは女サイボーグが出るんだちっしゃーねーな教えたくても詳しくは知らねーんだよ外回りは雑魚の役目だ俺の仕事じゃねーま、どっちも取るに足らねーちっぽけな国だ曲がりなりにもうちの攻撃をしのいだミネン様がしてやられるなんてことはねーだろうよ一応エネドラットは嘘ついてないよ誰がエネドラットだチビまだどっか攻めてくんのこいつの予測が当たっとるなら数日中にもなそんな急に俺たちまだ知らされてないけどちょうど今上で対策会議をやっとるその会議の結果次第でおそらく今回はできるようになるできる限り秘密裏に防衛に当たることになるお前たちもここでの話をよそに漏らすなよ秘密裏になんでまたそんな今は時期が悪い街には大規模侵攻の爪痕がまだ残っとる今さらにネイバーが攻めてくると知らせればああ変に騒ぐやつが出てくるかもってことか市民には今はなるべく平和でいてもらう戦力増強長期遠征計画今後の予定に差し支えが出るからななるほど

⏰ 타임스탬프별 텍스트
------------------------------
[00:00.740 → 00:01.380] はいはい
[00:02.820 → 00:03.960] 頼むよエネドラ
[00:05.740 → 00:07.380] また映画見せてやるから
[00:07.920 → 00:09.140] 面白いのあるのか
[00:09.680 → 00:12.000] 今度のは女サイボーグが出るんだ
[00:12.860 → 00:13.200] ちっ
[00:13.680 → 00:14.740] しゃーねーな
[00:15.680 → 00:18.080] 教えたくても詳しくは知らねーんだよ
[00:18.780 → 00:20.400] 外回りは雑魚の役目だ
[00:20.840 → 00:22.040] 俺の仕事じゃねー
[00:23.120 → 00:25.860] ま、どっちも取るに足らねーちっぽけな国だ
[00:26.440 → 00:32.020] 曲がりなりにもうちの攻撃をしのいだミネン様がしてやられるなんてことはねーだろうよ
[00:32.440 → 00:35.060] 一応エネドラットは嘘ついてないよ
[00:35.560 → 00:37.380] 誰がエネドラットだチビ
[00:37.860 → 00:39.280] まだどっか攻めてくんの
[00:40.040 → 00:43.900] こいつの予測が当たっとるなら数日中にもな
[00:44.440 → 00:45.300] そんな急に
[00:45.960 → 00:48.200] 俺たちまだ知らされてないけど
[00:48.200 → 00:51.000] ちょうど今上で対策会議をやっとる
[00:51.700 → 00:53.500] その会議の結果次第で
[00:53.500 → 00:55.080] おそらく今回は
[00:55.080 → 00:55.840] できるようになる
[00:55.840 → 00:55.840] 
[00:55.860 → 00:58.540] できる限り秘密裏に防衛に当たることになる
[00:58.920 → 01:02.400] お前たちもここでの話をよそに漏らすなよ
[01:02.920 → 01:03.800] 秘密裏に
[01:04.360 → 01:05.540] なんでまたそんな
[01:06.300 → 01:07.840] 今は時期が悪い
[01:08.480 → 01:11.500] 街には大規模侵攻の爪痕がまだ残っとる
